"Where Would I Be Without Me (Charlie Sheen Edition)","Steve Goodie","0000-00-00",,
"Regeneration","The Library Bards","0000-00-00",,
"FuMPFest 2017 Program Book","Various Artists","0000-00-00",,
"Mock the Vote! 2016","Holy Bongwater","0000-00-00",,
"The FuMP Volume 63: May - June 2017","Various Artists","2017-07-15","FIDIM177",
"A Horse Named George","Bonecage","0000-00-00",,
"Bloviating in the Wind","Smashy Claw","0000-00-00",,
"Larry McBrim","Power Salad","0000-00-00",,
"Regarding Your Demise","Smashy Claw","0000-00-00",,
"Second Week of Deer Camp (v. Live)","the great Luke Ski","0000-00-00",,
"The Bowling Green Fabrication Society","Insane Ian","0000-00-00",,
"The Twit in Twitter","Steve Goodie","0000-00-00",,
"Vagina Regulator","Nuclear Bubble Wrap","0000-00-00",,
"Winter Woman (feat. Lindsay Smith)","TV\'s Kyle","0000-00-00",,
"Dad Life","Mayor Wertz","0000-00-00",,
"We Want the Fump","Various Artists","0000-00-00",,
"DMV","Truth in Advertising","0000-00-00",,
"Former Spine","Smashy Claw","0000-00-00",,
"There\'s a Llama Inside My Fridge","TV\'s Kyle","0000-00-00",,
"The FuMP Volume 64: July - August 2017","Various Artists","2018-09-20","FIDIM178","737069886879"
"Great Pumpkin","Mikey Mason","0000-00-00",,
"Cowhog","Smashy Claw","0000-00-00",,
"Never Too Early","MEGATHRUSTER","0000-00-00",,
"Donnie Donnie (Inmate 675-309)","Steve Goodie","0000-00-00",,
"The Trump Idiocy Song","Steve Goodie","0000-00-00",,
"Live at Windycon","Ookla The Mok","0000-00-00",,
"The FuMP Volume 65: September - October 2017","Various Artists","2017-11-20","FIDIM180","737069886886"
"Finn and Poe","The Library Bards","0000-00-00",,
"Edgy Atheist Hallelujah","Holy Bongwater","0000-00-00",,
"Electric Chair","Holy Bongwater","0000-00-00",,
"Geeky Girl","The Library Bards","0000-00-00",,
"Hormone Hell","Lauren Mayer","0000-00-00",,
"Hufflepuffs","Insane Ian","0000-00-00",,
"My Butt Feels Weird (Ask Your Grandma)","Bonecage","0000-00-00",,
"Summer Time Jam","Insane Ian","0000-00-00",,
"We Don\'t Care","Steve Goodie","0000-00-00",,
"What\'s Really in My Hot Dog?","Devo Spice","0000-00-00",,
"When I\'m Dead - Pt. 3","Grottomatic","0000-00-00",,
"Words That Sound Dirty But They Ain\'t","Steve Goodie","0000-00-00",,
"WW3 + HDTV + AC/DC CD","Nuclear Bubble Wrap","0000-00-00",,
"I Brake for Cake (Next Level Hotel Food) (feat. The Great Luke Ski)","2d6","0000-00-00",,
"One in a Million","Kyle Cawthon","0000-00-00",,
"The Duel","The Flatworms","0000-00-00",,
"I Want To Be One Of Santa\'s Reindeer","Max Degroot","0000-00-00",,
"Make Christmas White Again","Robert Lund","0000-00-00",,
"3 Arms","TV\'s Kyle","0000-00-00",,
"Accidentally","Mikey Mason","0000-00-00",,
"Krampus, Krampus, Krampus","The Courtesan and the Cabinboy","0000-00-00",,
"My Job Gave Me a Poncho","Worm Quartet","0000-00-00",,
"The NRA Song","Steve Goodie","0000-00-00",,
"2 Drinks","Stuckey and Murray","0000-00-00",,
"Elevator Music","Nuclear Bubble Wrap","0000-00-00",,
"A Confederacy Of Douches","Steve Goodie","0000-00-00",,
"It\'s Frog Noticing Time","Scooter Picnic","0000-00-00",,
"The Internet Is Mine","Consortium of Genius","0000-00-00",,
"A Hufflepuff (Knocked My House Elf Up)","Mikey Mason","0000-00-00",,
"123456 Pokemon (v. Live)","Lemon Demon","0000-00-00",,
